pdb,cluster,chains
4O8Y,5120,AB
4O8Y,5628,AB
5LMM,1669,AB
5LMM,444,AB
6ZXN,48,AD
6ZXN,2,AD
5L3R,651,BA
5L3R,651,BA
6E7U,2343,AB
6E7U,2323,AB
5LMF,9464,AC
5LMF,24083,AC
4NWP,2965,AE
4NWP,6844,AE
6ZXO,222,FA
6ZXO,222,FA
1W1I,338,AE
1W1I,1410,AE
6E7X,2343,AB
6E7X,2323,AB
5LNP,10621,AB
5LNP,10621,AB
3VU5,4212,AB
3VU5,7496,AB
4NWQ,2965,AB
4NWQ,6844,AB
6E7W,2323,BA
6E7W,2343,BA
6E7K,8254,AC
6E7K,10958,AC
4CHB,363,AC
4CHB,19026,AC
4C4K,1801,AB
4C4K,1801,AB
4BSK,23194,AB
4BSK,973,AB
4BSI,74,AB
4BSI,78,AB
4BSH,74,AB
4BSH,78,AB
4BSG,74,AB
4BSG,78,AB
4NWT,1,AB
4NWT,1,AB
4BSF,74,AB
4BSF,78,AB
4CJ1,14569,AB
4CJ1,11135,AB
4CJ2,1087,AC
4CJ2,11135,AC
6DXY,7395,AB
6DXY,5050,AB
3VUD,47,AB
3VUD,2132,AB
6CPM,2313,AC
6CPM,38,AC
5IXQ,1802,AB
5IXQ,36026,AB
5J0A,19464,AB
5J0A,19464,AB
5LRW,12982,AB
5LRW,38,AB
5M3V,218,AB
5M3V,218,AB
4QF1,1,AB
4QF1,1,AB
5IXT,1802,AB
5IXT,33870,AB
5LRY,1669,AB
5LRY,444,AB
2NO3,47,AB
2NO3,2132,AB
4RKO,4,AB
4RKO,1072,AB
6ZZG,3870,AG
6ZZG,426,AG
5J9S,2449,AB
5J9S,37121,AB
3VUH,47,AB
3VUH,2132,AB
5L1X,16659,AB
5L1X,3038,AB
2XQR,3921,BA
2XQR,3236,BA
5J19,870,AC
5J19,30685,AC
5INB,955,AB
5INB,19964,AB
6DXX,7395,AB
6DXX,5050,AB
6D0I,12610,AB
6D0I,16783,AB
6COJ,9341,AB
6COJ,9342,AB
5IZC,13,AC
5IZC,13,AC
4RLJ,9010,AB
4RLJ,7501,AB
6D0H,12610,AB
6D0H,16783,AB
6DXZ,7395,AB
6DXZ,5050,AB
5J03,8653,AB
5J03,65,AB
4C34,135,AB
4C34,1286,AB
4BQD,20051,AC
4BQD,37892,AC
6DRT,5661,AD
6DRT,39796,AD
3A7Q,21379,BA
3A7Q,14242,BA
1W0W,10,CAB
1W0W,6,CAB
4C3P,273,AB
4C3P,11680,AB
5L30,4,AB
5L30,1595,AB
4C3O,444,AB
4C3O,474,AB
5L2Z,4,AB
5L2Z,1595,AB
5L2Y,4,AB
5L2Y,1595,AB
4RLW,9010,AB
4RLW,7501,AB
4BRY,18836,AB
4BRY,32783,AB
3VUG,47,AB
3VUG,2132,AB
5M0Y,8022,AB
5M0Y,11670,AB
6CPR,4752,AD
6CPR,3985,AD
5M35,66,ACD
5M35,34044,ACD
6ZXW,8584,AB
6ZXW,11868,AB
5M2S,20334,AB
5M2S,9092,AB
4BSE,74,AB
4BSE,78,AB
5M36,66,AC
5M36,31294,AC
4BSD,74,AB
4BSD,78,AB
6D24,8464,AC
6D24,8464,AC
4BSC,74,AB
4BSC,78,AB
5L2W,60,AB
5L2W,12678,AB
6D1Q,2143,AB
6D1Q,2453,AB
4BSB,74,AB
4BSB,78,AB
4BSA,74,AB
4BSA,78,AB
1W0V,10,ABC
1W0V,6,ABC
7LYY,4823,AB
7LYY,1655,AB
2OO5,1849,AC
2OO5,4369,AC
5JFI,1802,AB
5JFI,8280,AB
5GHR,3453,AB
5GHR,14999,AB
6ERD,8125,CA
6ERD,8125,CA
7KDV,4890,AB
7KDV,4207,AB
4PC3,348,AB
4PC3,5869,AB
7KFK,22758,CA
7KFK,35720,CA
5H8H,468,AB
5H8H,468,AB
2QWP,317,AB
2QWP,6733,AB
4NEN,7235,AB
4NEN,1582,AB
2Q8I,8380,BA
2Q8I,917,BA
5H8F,468,AB
5H8F,468,AB
6F1W,611,BA
6F1W,611,BA
4PC6,348,AB
4PC6,5869,AB
2Q7Y,322,AB
2Q7Y,6,AB
4TMP,3687,AB
4TMP,2303,AB
4PBV,18919,AC
4PBV,5477,AC
7LD9,1543,AB
7LD9,1137,AB
4NMS,1034,AC
4NMS,10919,AC
4PD1,1349,AB
4PD1,40507,AB
7MLE,10,ABC
7MLE,6,ABC
7AR4,1706,AB
7AR4,31491,AB
5JRD,1669,AB
5JRD,444,AB
7KGS,10,ABC
7KGS,6,ABC
7KGP,6,BAC
7KGP,10,BAC
6F3G,509,AB
6F3G,509,AB
7KGQ,10,ABC
7KGQ,6,ABC
4NMR,1034,AC
4NMR,25293,AC
7AB8,14355,AB
7AB8,3563,AB
7LDJ,116,AE
7LDJ,2,AE
7AQZ,8470,AC
7AQZ,2,AC
3ZRZ,3648,AC
3ZRZ,27847,AC
7MLM,2543,AB
7MLM,20439,AB
3ZRL,573,AC
3ZRL,9676,AC
3WP1,5620,AB
3WP1,33717,AB
7A91,254,AB
7A91,21303,AB
6F4V,297,AB
6F4V,8079,AB
4NDR,952,AB
4NDR,952,AB
7A92,254,AB
7A92,21303,AB
5GXG,334,AB
5GXG,1438,AB
2Q0N,58,AB
2Q0N,25409,AB
4PBW,18919,AD
4PBW,5477,AD
5JMO,1206,ACEF
5JMO,2,ACEF
4NM7,573,ABC
4NM7,8871,ABC
3WP0,5620,AB
3WP0,33054,AB
7A94,48,AD
7A94,254,AD
5GY2,6362,AB
5GY2,19613,AB
4NM5,573,ABC
4NM5,8871,ABC
3ZRM,573,AC
3ZRM,9676,AC
5H9O,2083,AB
5H9O,5238,AB
4PC0,1082,AC
4PC0,44111,AC
4PC1,348,AC
4PC1,5869,AC
4NF5,468,BA
4NF5,468,BA
7AR0,8470,AB
7AR0,2,AB
7LEN,5148,AC
7LEN,8675,AC
5H14,715,AC
5H14,3168,AC
4PC2,348,AB
4PC2,5869,AB
7B2I,6401,AB
7B2I,278,AB
3ZS1,1617,AC
3ZS1,1624,AC
3ZS0,1617,AC
3ZS0,1624,AC
3ZR4,1078,AB
3ZR4,4208,AB
7B39,59,AB
7B39,631,AB
4QRU,10,ABC
4QRU,6,ABC
4QMG,13621,AB
4QMG,30114,AB
7KI7,326,AB
7KI7,308,AB
7LCG,704,AB
7LCG,1027,AB
6ES1,16326,BA
6ES1,1761,BA
4TLM,654,AB
4TLM,584,AB
5H9B,58,AB
5H9B,14553,AB
3ZP6,74,AB
3ZP6,78,AB
7API,297,AB
7API,4232,AB
3ZP3,74,AB
3ZP3,78,AB
3ZOQ,803,AB
3ZOQ,11824,AB
3ZP2,74,AB
3ZP2,78,AB
7KJH,2,AB
7KJH,12520,AB
3ZPA,74,AB
3ZPA,78,AB
5H7G,637,AC
5H7G,40968,AC
6EPK,498,AB
6EPK,34103,AB
6DJK,556,AB
6DJK,3898,AB
7B27,116,AC
7B27,2,AC
6EPM,12,AB
6EPM,634,AB
7LAN,1617,AB
7LAN,1624,AB
3ZPB,74,AB
3ZPB,78,AB
7KL1,58,AC
7KL1,4722,AC
3ZO0,218,AB
3ZO0,2646,AB
6EPL,12,AB
6EPL,634,AB
7KL5,65,AB
7KL5,32689,AB
3ZNM,74,AB
3ZNM,78,AB
3ZNL,74,AB
3ZNL,78,AB
3ZNK,74,AB
3ZNK,78,AB
4PE5,654,AB
4PE5,584,AB
7LCH,704,AB
7LCH,1027,AB
4NG9,4,AB
4NG9,1595,AB
7KHX,3312,AB
7KHX,15335,AB
7KH6,308,BA
7KH6,326,BA
6ERE,1164,AB
6ERE,1146,AB
3ZRK,573,AC
3ZRK,9676,AC
3ZRJ,17085,AC
3ZRJ,27569,AC
4NGA,4,AB
4NGA,1595,AB
7AQX,8470,AC
7AQX,2,AC
5H8Q,468,AB
5H8Q,468,AB
4PN1,17806,AE
4PN1,17146,AE
1XPK,1914,AC
1XPK,1914,AC
7AQY,8470,AB
7AQY,2,AB
7KHD,3312,AC
7KHD,15335,AC
7KGT,10,ABC
7KGT,6,ABC
7KGU,1,BA
7KGU,1,BA
4NFU,6457,AB
4NFU,18054,AB
7KIC,1182,AB
7KIC,1183,AB
5H92,4953,AC
5H92,725,AC
4QPJ,18487,AC
4QPJ,7133,AC
7KJ2,48,AD
7KJ2,254,AD
4NMQ,1034,AC
4NMQ,38752,AC
3ZQI,728,AC
3ZQI,38572,AC
3ZQH,728,AB
3ZQH,43441,AB
7KJ3,48,AD
7KJ3,254,AD
7KJ4,48,AD
7KJ4,254,AD
7AAM,14669,AC
7AAM,40182,AC
7KID,1182,AB
7KID,1183,AB
3ZP0,74,AB
3ZP0,78,AB
7KIB,1182,AB
7KIB,1183,AB
7A8Y,4147,AB
7A8Y,3349,AB
4NDP,952,AB
4NDP,952,AB
7KCZ,218,AC
7KCZ,1184,AC
4NDO,952,AB
4NDO,952,AB
7K8N,1,AB
7K8N,1,AB
4APX,1861,AB
4APX,5852,AB
5GNV,5620,AB
5GNV,41308,AB
6ET3,7370,AB
6ET3,7371,AB
7K8Q,1,AB
7K8Q,1,AB
7K93,4474,AE
7K93,1,AE
4U1I,10,ABC
4U1I,6,ABC
7K8R,1,AB
7K8R,1,AB
5HAX,26871,AB
5HAX,26872,AB
4R26,1,AB
4R26,1,AB
5HBE,1498,AB
5HBE,1528,AB
4TPI,4,AB
4TPI,286,AB
3ZWZ,2209,AB
3ZWZ,12317,AB
7LFS,5148,AE
7LFS,8675,AE
3VRG,14,AB
3VRG,14,AB
4OYD,7120,AB
4OYD,14187,AB
7LG3,10,ABC
7LG3,6,ABC
7JXZ,14,AB
7JXZ,14,AB
7K9Q,2083,AB
7K9Q,5123,AB
7K9N,2083,AB
7K9N,5123,AB
7K9O,2083,AB
7K9O,5123,AB
7LFR,5148,AC
7LFR,8675,AC
7K9T,2083,AB
7K9T,5123,AB
7JXU,3304,AC
7JXU,426,AC
5HBJ,1498,AB
5HBJ,1528,AB
2PKQ,258,AB
2PKQ,258,AB
7LGD,10,ABEF
7LGD,6,ABEF
6F4Q,1910,AB
6F4Q,18774,AB
4U1K,10,ABCF
4U1K,6,ABCF
7K8O,1,BA
7K8O,1,BA
4NO3,10,ABC
4NO3,6,ABC
6F4J,10495,AC
6F4J,495,AC
4NNJ,2520,AB
4NNJ,38,AB
4U1H,10,ABC
4U1H,6,ABC
5JLB,2347,AB
5JLB,3507,AB
4NO5,10,ABC
4NO5,6,ABC
4P9M,1,AB
4P9M,1,AB
4QRT,10,ABC
4QRT,6,ABC
7AUW,10646,AB
7AUW,9428,AB
5HBR,4521,AB
5HBR,4393,AB
4QRS,10,ABC
4QRS,6,ABC
3ZXW,522,AB
3ZXW,3559,AB
4U1N,10,ABC
4U1N,6,ABC
4U1M,10,ABC
4U1M,6,ABC
2PYF,63,AB
2PYF,62,AB
4QJR,1394,AB
4QJR,39290,AB
7K84,5006,AB
7K84,2,AB
7LIN,2059,AB
7LIN,16738,AB
5JTC,2407,AB
5JTC,1330,AB
3ZYJ,12242,AB
3ZYJ,35659,AB
3ZYI,12242,AB
3ZYI,13872,AB
4R40,11960,BA
4R40,3382,BA
4U1L,10,ABCF
4U1L,6,ABCF
7ATR,14543,AB
7ATR,38865,AB
7LGX,326,AB
7LGX,308,AB
4QK4,1394,AB
4QK4,25768,AB
6ET0,7370,AB
6ET0,7371,AB
7LEV,326,AB
7LEV,308,AB
5HBH,1498,AB
5HBH,1528,AB
7KC4,35081,AB
7KC4,21207,AB
2PMW,2161,AB
2PMW,2861,AB
7LFL,10,ABC
7LFL,6,ABC
7KCO,59,AC
7KCO,7425,AC
4QLB,43018,AE
4QLB,43019,AE
5GZT,43466,AB
5GZT,43467,AB
3ZV0,10673,AC
3ZV0,34706,AC
6ESZ,7370,AB
6ESZ,7371,AB
5JSK,5982,AB
5JSK,1712,AB
5JMN,385,AD
5JMN,296,AD
2PMS,374,AC
2PMS,37932,AC
3ZVH,6624,AB
3ZVH,6624,AB
5GP7,43438,AB
5GP7,43439,AB
3ZUV,47,AB
3ZUV,1523,AB
3W3D,76,AB
3W3D,3111,AB
4NEH,7235,AB
4NEH,1582,AB
2QWN,317,AB
2QWN,6733,AB
4PB9,1,AB
4PB9,1,AB
7KE1,1,AB
7KE1,1,AB
7A9D,74,AC
7A9D,78,AC
6F4U,297,AB
6F4U,8079,AB
7ARN,1,AB
7ARN,1,AB
4PB0,1,AB
4PB0,1,AB
2QWO,317,AB
2QWO,6733,AB
5GYY,16250,AC
5GYY,25332,AC
4NDN,477,AE
4NDN,8632,AE
7KB6,2083,AB
7KB6,5123,AB
7LFM,10,ABCF
7LFM,6,ABCF
3VRD,22407,AB
3VRD,15276,AB
7JZO,1034,AC
7JZO,8354,AC
6F4P,1910,AB
6F4P,18774,AB
6F0H,1230,AB
6F0H,17827,AB
3ZVU,2111,AB
3ZVU,1249,AB
6F0G,1230,AC
6F0G,17827,AC
2TGP,4,AB
2TGP,286,AB
7JZ4,3091,AB
7JZ4,1,AB
3ZW1,1036,AB
3ZW1,1036,AB
4QQI,7518,AB
4QQI,22446,AB
2PLX,4,AB
2PLX,34551,AB
7JZU,22307,AB
7JZU,48,AB
7JZK,4250,AB
7JZK,33426,AB
7JZN,48,AB
7JZN,19298,AB
7JZL,48,AB
7JZL,22307,AB
7KB8,2083,AB
7KB8,5123,AB
7JZM,19298,AB
7JZM,48,AB
3ZWH,364,AC
3ZWH,13659,AC
7KAD,2083,AB
7KAD,5123,AB
7KA1,326,AB
7KA1,308,AB
7LFI,10,ABCF
7LFI,6,ABCF
7KBN,326,AB
7KBN,308,AB
3WO3,3505,AB
3WO3,14896,AB
7B4W,296,AC
7B4W,6728,AC
7LG2,10,ABC
7LG2,6,ABC
7LFK,10,ABCF
7LFK,6,ABCF
7B4T,6728,AB
7B4T,296,AB
7LFJ,10,ABCF
7LFJ,6,ABCF
7KKK,48,AB
7KKK,2,AB
4NMP,1034,AC
4NMP,38945,AC
7KL0,58,AC
7KL0,4722,AC
7L1B,10,ABC
7L1B,6,ABC
6DLD,4077,AB
6DLD,4077,AB
7MMQ,1694,AE
7MMQ,8399,AE
2Q7K,309,AB
2Q7K,7267,AB
7KWF,329,AC
7KWF,329,AC
7L47,326,AB
7L47,308,AB
2Q7L,309,AB
2Q7L,1572,AB
2Q7N,6801,BA
2Q7N,21419,BA
2R7E,5704,AB
2R7E,39780,AB
5JPO,20532,AE
5JPO,37757,AE
7L8S,269,ABGH
7L8S,283,ABGH
2Q3Y,309,AB
2Q3Y,27258,AB
4NJA,1,AB
4NJA,1,AB
3ZCB,15570,AB
3ZCB,12282,AB
7KWO,43361,AB
7KWO,43362,AB
7AKO,463,AC
7AKO,32277,AC
4PID,4003,AB
4PID,7957,AB
7KX0,32513,AD
7KX0,7180,AD
7L90,269,ABGH
7L90,283,ABGH
3WUT,10624,AJKC
3WUT,34440,AJKC
7AL7,39393,AB
7AL7,21168,AB
5H5S,1501,AB
5H5S,33303,AB
7L4Z,116,AF
7L4Z,39280,AF
7L8Y,269,ABCD
7L8Y,283,ABCD
7L8X,269,ABEF
7L8X,283,ABEF
4PIE,4003,AB
4PIE,7957,AB
7L8Z,269,ABCD
7L8Z,283,ABCD
6DLA,1,AB
6DLA,1,AB
3ZE6,474,AB
3ZE6,1712,AB
6DLB,1,AB
6DLB,1,AB
4NM0,573,AB
4NM0,8871,AB
5H5Q,1501,AB
5H5Q,28325,AB
3ZG7,10944,AB
3ZG7,10945,AB
3ZG6,2661,AB
3ZG6,15026,AB
4NI2,39398,AB
4NI2,15467,AB
5H5R,1501,AB
5H5R,37788,AB
3ZG9,10944,AB
3ZG9,10945,AB
7KY7,2013,AB
7KY7,3271,AB
3ZED,4088,AD
3ZED,29056,AD
7L31,817,AE
7L31,9614,AE
4TK1,1349,AC
4TK1,15905,AC
7ALO,10,ABCF
7ALO,6,ABCF
5GTO,109,AB
5GTO,631,AB
7KY6,2013,AB
7KY6,3271,AB
7L8D,269,ABCD
7L8D,283,ABCD
7KY9,2013,AB
7KY9,3271,AB
7KY8,2013,AB
7KY8,3271,AB
7KQF,326,AB
7KQF,308,AB
7KYC,2013,AB
7KYC,3271,AB
7KYB,2013,AB
7KYB,3271,AB
5GTP,109,AB
5GTP,631,AB
3ZDI,573,AB
3ZDI,13494,AB
7KYA,2013,AB
7KYA,3271,AB
5JQ3,1452,AB
5JQ3,1655,AB
2Q7I,309,AB
2Q7I,7267,AB
7KRY,2083,AB
7KRY,5123,AB
2Q7J,309,AB
2Q7J,1572,AB
7AKS,2282,AB
7AKS,26656,AB
4R10,1706,AB
4R10,17265,AB
5H4I,2115,AB
5H4I,1476,AB
5JOF,1,AB
5JOF,1,AB
7KVB,704,AD
7KVB,1027,AD
2Q5W,6292,AB
2Q5W,22127,AB
3WWN,1906,AB
3WWN,9249,AB
7AG0,21142,AB
7AG0,845,AB
7AH8,1992,AB
7AH8,22837,AB
7KV9,704,AD
7KV9,1027,AD
4NKI,1,AB
4NKI,1,AB
7KUY,817,AE
7KUY,9614,AE
5JOP,1,AB
5JOP,1,AB
7KV8,704,AD
7KV8,1027,AD
3WXF,11850,AB
3WXF,1204,AB
7L89,269,ABCD
7L89,283,ABCD
7L6O,269,AB
7L6O,283,AB
7KUZ,329,AE
7KUZ,329,AE
2PUO,4503,AB
2PUO,6413,AB
5GS4,144,AB
5GS4,32416,AB
7L88,269,ABGH
7L88,283,ABGH
4PJ2,17451,AC
4PJ2,11599,AC
7L8B,269,ABGH
7L8B,283,ABGH
7L8C,269,ABGH
7L8C,283,ABGH
7L8A,269,ABCD
7L8A,283,ABCD
7L86,269,ABCD
7L86,283,ABCD
7L7U,269,AB
7L7U,283,AB
5GRQ,11572,AC
5GRQ,29468,AC
7L87,269,ABCD
7L87,283,ABCD
4PIR,2853,AF
4PIR,2,AF
7KVA,704,AD
7KVA,1027,AD
4RZC,2,AB
4RZC,2,AB
5GSD,10,ABC
5GSD,6,ABC
7KU6,329,AE
7KU6,329,AE
7KSG,48,AD
7KSG,2,AD
2R7G,3738,AB
2R7G,40691,AB
7L4D,326,AB
7L4D,308,AB
7L4E,384,AB
7L4E,485,AB
7AK8,11583,AG
7AK8,43088,AG
6DMY,4182,AB
6DMY,1612,AB
7KWU,108,AB
7KWU,113,AB
9API,297,AB
9API,4232,AB
7L8U,269,ABGH
7L8U,283,ABGH
7L5R,212,AB
7L5R,212,AB
7L8T,269,ABGH
7L8T,283,ABGH
7KU9,326,AB
7KU9,308,AB
7L8W,269,ABGH
7L8W,283,ABGH
4SGB,476,AB
4SGB,7384,AB
2PTT,17311,AB
2PTT,14468,AB
7KWV,326,AB
7KWV,308,AB
7L97,9634,AB
7L97,38,AB
4PJJ,290,AB
4PJJ,65,AB
5JQ7,1452,AB
5JQ7,1655,AB
5GRG,10,ABCD
5GRG,6,ABCD
4SRN,101,AB
4SRN,42629,AB
7L5M,14168,AB
7L5M,13670,AB
7AIR,2146,AB
7AIR,2146,AB
4PKC,10356,AB
4PKC,10357,AB
7L5H,326,AB
7L5H,308,AB
7KXC,326,AB
7KXC,308,AB
3ZG8,10944,AB
3ZG8,10945,AB
4QNH,3521,AB
4QNH,65,AB
7KKL,2,BA
7KKL,48,BA
4NM3,573,AB
4NM3,8871,AB
5JR4,2194,AB
5JR4,17655,AB
7LA5,1543,AB
7LA5,1137,AB
4NH1,86,AC
4NH1,6382,AC
2PVD,4503,AB
2PVD,6413,AB
4PGD,10,ABC
4PGD,6,ABC
4PGE,10,ABC
4PGE,6,ABC
5JQS,4375,AB
5JQS,38,AB
7B14,116,AB
7B14,2,AB
6F1C,3599,CA
6F1C,3599,CA
7KMB,254,AB
7KMB,48,AB
7KMC,326,AB
7KMC,308,AB
7LAL,1617,AB
7LAL,1624,AB
7LAE,1617,AB
7LAE,1624,AB
5JNB,17035,AE
5JNB,27449,AE
7KLZ,2059,AC
7KLZ,25710,AC
7LAG,1617,AB
7LAG,1624,AB
7AD6,3259,AC
7AD6,20004,AC
6DM9,11312,AB
6DM9,11312,AB
7AD7,3259,AC
7AD7,36604,AC
7ACY,10568,AB
7ACY,11700,AB
7MMS,1694,AE
7MMS,8399,AE
7ACX,10568,AB
7ACX,11700,AB
7ACK,60,AB
7ACK,356,AB
6F3M,681,AB
6F3M,681,AB
5JR2,1340,AE
5JR2,27535,AE
6EPP,12,AB
6EPP,634,AB
3X37,31350,AB
3X37,31351,AB
5JQI,17655,AB
5JQI,2194,AB
6EPO,12,AB
6EPO,634,AB
7APO,59,AC
7APO,21609,AC
5GR9,1802,AB
5GR9,8280,AB
5JNO,39735,AB
5JNO,39736,AB
3ZO4,135,AB
3ZO4,272,AB
7KK8,2844,AC
7KK8,426,AC
3ZO3,135,AB
3ZO3,272,AB
7KM5,116,AC
7KM5,2,AC
3ZO2,135,AB
3ZO2,272,AB
4Q94,3963,AC
4Q94,14693,AC
3ZO1,135,AB
3ZO1,1286,AB
3ZNZ,4607,AB
3ZNZ,1204,AB
7KM6,1593,AB
7KM6,1593,AB
7MMR,1694,AE
7MMR,8399,AE
6DNZ,3612,AB
6DNZ,37643,AB
7APZ,253,AB
7APZ,462,AB
4NMO,1034,AC
4NMO,10919,AC
6EPN,12,AB
6EPN,634,AB
7LAW,3312,AC
7LAW,15335,AC
7KKZ,1,AB
7KKZ,1,AB
7KL9,33169,DA
7KL9,48,DA
7LBC,1543,AB
7LBC,1137,AB
7AC8,1078,AB
7AC8,4208,AB
5JQB,1452,AB
5JQB,1655,AB
4TKP,227,AB
4TKP,12566,AB
3X3G,1,AB
3X3G,1,AB
7KMS,254,AB
7KMS,48,AB
7L03,326,AB
7L03,308,AB
5K33,218,AB
5K33,1121,AB
6EPG,13347,BA
6EPG,13346,BA
5JQY,2407,AB
5JQY,1330,AB
5JQP,2083,AB
5JQP,31769,AB
5K2M,7630,AIJE
5K2M,9249,AIJE
4PLN,4099,AC
4PLN,19095,AC
3ZI3,125,AB
3ZI3,134,AB
3WS6,10,ABEF
3WS6,6,ABEF
7ADT,10084,AB
7ADT,7923,AB
7B0A,3321,AB
7B0A,4864,AB
7AE4,4705,AG
7AE4,18434,AG
3WSY,13691,AB
3WSY,33854,AB
7KZA,1,AB
7KZA,1,AB
3WSZ,13691,AB
3WSZ,30221,AB
7KPS,6491,AB
7KPS,6491,AB
3ZGA,10944,AB
3ZGA,10945,AB
3ZHP,4158,AC
3ZHP,5,AC
4NIF,1610,AB
4NIF,47,AB
6DLY,3949,AC
6DLY,3898,AC
2Q86,19498,AB
2Q86,62,AB
5GR8,3755,AC
5GR8,23782,AC
4TLL,654,AB
4TLL,584,AB
7KY5,2013,AB
7KY5,3271,AB
7L1G,1182,AB
7L1G,1183,AB
7L1H,326,AB
7L1H,308,AB
4NI0,14,BA
4NI0,14,BA
3ZH7,11186,AB
3ZH7,11186,AB
7MMP,1694,AE
7MMP,8399,AE
7L1C,10,ABC
7L1C,6,ABC
7KQ9,326,AB
7KQ9,308,AB
4PG2,10,ABC
4PG2,6,ABC
7KYT,326,AB
7KYT,308,AB
6EPI,13346,AB
6EPI,13347,AB
7ACD,1017,AB
7ACD,1100,AB
2Q3N,244,AB
2Q3N,840,AB
7B17,116,AB
7B17,1,AB
7KNE,48,AD
7KNE,254,AD
7KNI,48,AD
7KNI,254,AD
7KNH,48,AC
7KNH,254,AC
7KMZ,48,AC
7KMZ,254,AC
7B0W,13956,BA
7B0W,2783,BA
7KNB,48,AD
7KNB,254,AD
7KP7,1020,AD
7KP7,8041,AD
7L15,29625,AB
7L15,1,AB
7KOZ,322,AB
7KOZ,6,AB
3ZHG,14214,AD
3ZHG,14214,AD
7KOO,552,AF
7KOO,1116,AF
7KP0,322,AB
7KP0,6,AB
4PLO,19095,AB
4PLO,4099,AB
7B1C,7870,AC
7B1C,15551,AC
6EPH,13346,AB
6EPH,13347,AB
4PG9,10,ABC
4PG9,6,ABC
7L0J,28939,AB
7L0J,28940,AB
7B1B,7870,AB
7B1B,15551,AB
6F1H,3599,AC
6F1H,3599,AC
7ANQ,29615,AB
7ANQ,2,AB
7B00,2339,AB
7B00,39837,AB
1XF4,1,AB
1XF4,1,AB
2PGQ,1072,AB
2PGQ,4,AB
4U1J,10,ABC
4U1J,6,ABC
6EJP,21560,AB
6EJP,22697,AB
6C6E,322,AB
6C6E,6,AB
4P4R,253,AB
4P4R,462,AB
6C6A,322,AB
6C6A,6,AB
4AG1,4,AB
4AG1,6090,AB
6EJ9,29392,BA
6EJ9,4830,BA
4R6P,1312,AB
4R6P,1656,AB
4AFJ,573,AC
4AFJ,9676,AC
6C6H,6,BA
6C6H,322,BA
4AFX,9310,AB
4AFX,4232,AB
6C6F,322,AB
6C6F,6,AB
6EJ8,4830,AB
6EJ8,16933,AB
4AFS,4,AB
4AFS,6090,AB
3WJM,7899,AB
3WJM,7899,AB
2QWR,317,AB
2QWR,6733,AB
4P2Y,13338,AB
4P2Y,364,AB
1W7X,4,AB
1W7X,1595,AB
7M0X,5,AB
7M0X,321,AB
5HQ8,881,AC
5HQ8,33967,AC
6C6C,322,AB
6C6C,6,AB
4AF0,697,AB
4AF0,697,AB
4PXF,884,AB
4PXF,29594,AB
4P57,253,AB
4P57,462,AB
2ZSV,10,ABEF
2ZSV,6,ABEF
7A4T,2,AB
7A4T,4626,AB
7M0Z,5,AB
7M0Z,321,AB
4R6O,1312,AB
4R6O,1656,AB
4ACZ,1165,AB
4ACZ,1165,AB
5JHH,4540,AB
5JHH,12,AB
7LP2,2129,AB
7LP2,22192,AB
5I1G,1,AB
5I1G,1,AB
5I1J,1,AB
5I1J,1,AB
5I1K,1,AB
5I1K,1,AB
6BUU,307,AC
6BUU,20941,AC
6C73,326,AB
6C73,308,AB
2ZPI,1346,AB
2ZPI,943,AB
2ZPK,1,ABCF
2ZPK,1,ABCF
4ORC,7982,AB
4ORC,2527,AB
5I1H,1,AB
5I1H,1,AB
2P4R,228,AB
2P4R,18395,AB
6BVH,4,AB
6BVH,37786,AB
3WJJ,218,AC
3WJJ,1184,AC
3WJL,218,AC
3WJL,1184,AC
2P49,101,AB
2P49,2,AB
2ZR1,244,AB
2ZR1,840,AB
6C5M,322,AB
6C5M,6,AB
2P48,101,AB
2P48,2,AB
6C5K,1,AC
6C5K,1,AC
2P4A,101,AB
2P4A,2,AB
6C5I,1,AB
6C5I,1,AB
6C5J,1,AB
6C5J,1,AB
4AH2,253,AB
4AH2,462,AB
6C69,322,AB
6C69,6,AB
5JHG,4540,AB
5JHG,12,AB
7LP3,2129,AB
7LP3,22192,AB
6EJ7,4830,AB
6EJ7,16933,AB
5HPR,125,AB
5HPR,134,AB
4R6N,1312,AB
4R6N,1656,AB
7M0Y,5,AB
7M0Y,321,AB
7JI2,10,ABEF
7JI2,6,ABEF
7MJI,48,AB
7MJI,2,AB
6BRS,13413,ABD
6BRS,725,ABD
6EJE,34011,BA
6EJE,4830,BA
4P5M,253,AB
4P5M,462,AB
4ABJ,4,AB
4ABJ,34838,AB
4ABI,4,AB
4ABI,41482,AB
6EJD,4830,AB
6EJD,33988,AB
6EJC,36853,BA
6EJC,4830,BA
6EJB,4830,AB
6EJB,23217,AB
6EL7,309,AB
6EL7,1572,AB
6DEI,5551,AC
6DEI,35491,AC
6EL6,309,AB
6EL6,1572,AB
6EL9,1572,BA
6EL9,309,BA
4R6Q,1312,AB
4R6Q,1656,AB
2OVR,946,ABC
2OVR,4930,ABC
5JWD,10,ABC
5JWD,6,ABC
5HMG,74,AB
5HMG,78,AB
4QT8,41187,AC
4QT8,4,AC
5K8D,5704,AB
5K8D,31685,AB
7JG1,18861,AE
7JG1,5597,AE
7JFP,1416,AB
7JFP,1505,AB
6BQT,66,AJKC
6BQT,23182,AJKC
7JH0,258,AD
7JH0,258,AD
3WMG,430,AB
3WMG,42110,AB
2SGQ,476,AB
